"date","btc_price","btc_market_cap","btc_volume","gold_price","btc_return","btc_volatility","gold_log_return","rolling_vol"
"2019-12-16",7108.56302177805,128886696696.607,18896096612.0759,1477.9,-0.0127965206779044,0.0252991165522242,0.00767536456082804,0.00535785346082995
"2019-12-17",6901.03691533609,124984942945.927,22208927988.5423,1475.8,-0.0291938195956307,0.0250382978992574,-0.00142194559626077,0.00476980440468996
"2019-12-18",6627.16251455314,119931733577.12,26481385708.6603,1474.05,-0.0396859782294922,0.0256199581816661,-0.00118650114772067,0.00476270997200736
"2019-12-19",7274.7685037925,131230049166.534,57308255783.65,1476.7,0.0977199499510127,0.0323310198599761,0.0017961540031827,0.0047738524875576
"2019-12-20",7152.55869163288,129498636860.963,23539013331.219,1479,-0.0167991341711986,0.032360931344391,0.00155631523107156,0.00404666390411046
"2019-12-23",7488.19617460147,135086328271.262,24325792143.8414,1482.1,0.0469255125947057,0.0337866599313615,0.00209381725206943,0.00398409878202061
"2019-12-24",7335.20761617701,132931613272.251,30235862118.6774,1482.1,-0.0204306290670333,0.0334637349936816,0,0.00386806644379727
"2019-12-25",7266.60819662888,131358497318.595,26519710985.4797,1482.1,-0.00935207606078405,0.0333649431224556,0,0.00365209190665268
"2019-12-26",7204.1848756886,130643567866.792,23546783550.7202,1482.1,-0.00859043438852799,0.0333668569207474,0,0.00363056115811322
"2019-12-27",7208.48930789215,130768750218.36,24771695136.0454,1511.5,0.000597490524996825,0.0333565516859863,0.0196425342566434,0.00505762061184522
"2019-12-30",7394.02928553099,133997529973.309,22035194451.0093,1514.75,0.0257390931322744,0.0337653648378804,0.00214787360558569,0.00506101029654936
"2019-12-31",7240.42891225182,131377523457.072,22320671263.7171,1514.75,-0.0207735684222596,0.0333844023404795,0,0.00506387354142182
"2020-01-01",7195.15389543003,130394101535.61,21187883711.185,1514.75,-0.00625308491672064,0.0333788976503439,0,0.00506225544418169
"2020-01-02",7193.7546679601,130422953817.668,18123516838.8979,1527.1,-0.000194468039219988,0.0333827907688763,0.00812010313403726,0.00516337250686555
"2020-01-03",6963.85335398349,126280790200.202,20313194628.0945,1548.75,-0.0319584590506757,0.0322776729770637,0.0140776419842164,0.00562450224516038
"2020-01-06",7349.97224805063,133388991086.88,21929224570.561,1573.1,0.0554461552304617,0.0293523172694985,0.0156000408851069,0.00603723079820591
"2020-01-07",7734.67551578529,140557168287.444,28148518761.5116,1567.85,0.0523407782711958,0.0304493873398095,-0.00334294075943406,0.00606118595122766
"2020-01-08",8147.41523763637,147798610895.501,34823187724.29,1571.95,0.0533622543064335,0.0317976246764931,0.00261163279850964,0.00603962923564099
"2020-01-09",8045.78912459297,146089575425.28,39971512000.0682,1550.75,-0.0124734176520113,0.0309877419112993,-0.0135782020143077,0.00671407288609204
"2020-01-10",7832.79564384039,141913856953.479,29276053440.8847,1553.6,-0.026472665074149,0.0314120085085975,0.0018361336838336,0.00670705471664544
"2020-01-13",8171.40118532094,148204228775.388,27533390875.5199,1549.9,0.0432292066430746,0.0322597457707449,-0.0023844058340553,0.00675213439203561
"2020-01-14",8110.64796450377,147446058196.459,27962176780.6282,1545.1,-0.00743485963292407,0.032174498411035,-0.00310177954663265,0.00659080478640786
"2020-01-15",8801.87121313775,159481192213.821,55384169405.5193,1549,0.0852241709489942,0.0353863625708765,0.0025209282604962,0.00656878878292557
"2020-01-16",8820.85010599613,159960761751.85,48160401007.254,1554.55,0.00215623387332142,0.0352477841993579,0.00357655324784543,0.0065750364803316
"2020-01-17",8720.91950137424,158412991117.647,36462155571.2176,1557.6,-0.0113289085996328,0.0352832296499592,0.00196006039327596,0.00611199242782168
"2020-01-20",8690.38056954462,157906057309.307,39242297095.9422,1560.15,-0.00350180182546188,0.0352504589969833,0.00163579540926201,0.00611114136867071
"2020-01-21",8631.25395433376,156848009983.549,29527689342.8855,1551.3,-0.00680368537806836,0.0349642547331444,-0.00568868139696638,0.0062773523430253
"2020-01-22",8724.81862293147,158564958350.98,27057681779.7467,1556.9,0.0108402173186818,0.0347392224401847,0.00360337562534337,0.00628358208653763
"2020-01-23",8665.4369140969,157502652064.022,25628542094.5013,1562.9,-0.00680606799991213,0.0347614181228969,0.00384640515251915,0.00628747306437707
"2020-01-24",8415.95602733554,152984928858.576,30696020541.208,1564.3,-0.0287903413566493,0.0353498068692715,0.000895369719576558,0.00626787585257978
"2020-01-27",8595.72829849312,156302144661.309,30241155463.2706,1580.1,0.0213608852724122,0.0352802622243047,0.0100496965897288,0.0063544465122244
"2020-01-28",8879.33554871455,161473602737.427,39661537339.9221,1574,0.0329939756554599,0.0349091810757625,-0.00386798618010477,0.00641827795962348
"2020-01-29",9320.80585386847,169518428144.891,49812761504.1306,1573.45,0.0497188446964177,0.0344215395518173,-0.00034948927264811,0.00640509169366076
"2020-01-30",9276.8938210865,168738228801.505,47273353143.7575,1578.25,-0.00471118414763954,0.0304788995265976,0.00304597754303468,0.0064066054778428
"2020-01-31",9509.80513557522,172993102966.377,51037775414.9802,1584.2,0.0251066056139728,0.0302351810823656,0.00376290978244439,0.00641142494411958
